ts,s_temp_int_c,s_rh_int_pct,s_co2_ppm,s_pir_bin,s_power_total_kw,zone_id,T_int,T_int_true,hvac_state,lighting_state,T_set,P_hvac,P_lighting,P_plug,P_total,presence,level,weather_temp_c,weather_rh_pct,weather_wind_ms,weather_ghi_wm2,bim_label,bim_Area_m2,bim_Orientation,bim_Volume_m3,bim_Window_to_Wall_Ratio,bim_Wall_North__U_Value_W_per_m2K,bim_Window1__Area_m2,bim_Window1__U_Value_W_per_m2K
2025-03-01 00:00:00+00:00,23.1330331085146,52.57540905760193,431.6768490472866,0.0,2.293147890107712,brick:Room_101,25.86711145255223,25.949855824363645,1.0,0.0,18.0,63.59884659490916,0.0,2.2,65.79884659490916,,,10.0,77.0,16.2,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 00:00:00+00:00,,,,,,,,,,,,,,,,0.0,low,10.0,77.0,16.2,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 00:15:00+00:00,22.82146311138585,53.22099729217053,431.4941936862823,0.0,2.1361491560234467,brick:Room_101,25.589329501443945,25.63733181620792,1.0,0.0,18.0,63.59884659490916,0.0,2.2,65.79884659490916,,,9.85,80.5,15.325,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 00:15:00+00:00,,,,,,,,,,,,,,,,0.0,low,9.85,80.5,15.325,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 00:30:00+00:00,22.374734786236107,51.87307847672891,503.02483914612776,0.0,1.735709631093945,brick:Room_101,25.329131996459875,25.33526744313966,1.0,0.0,18.0,61.09865452966335,0.0,2.2,63.29865452966335,,,9.7,84.0,14.45,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 00:30:00+00:00,,,,,,,,,,,,,,,,0.0,low,9.7,84.0,14.45,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 00:45:00+00:00,22.6727211526258,52.28051607831466,474.4461891163583,0.0,2.0492905323821806,brick:Room_101,25.047462173284103,25.04279355457027,1.0,0.0,18.0,58.68213954511728,0.0,2.2,60.88213954511728,,,9.55,87.5,13.575,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 00:45:00+00:00,,,,,,,,,,,,,,,,0.0,low,9.55,87.5,13.575,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 01:00:00+00:00,22.58314887296507,52.75816491904455,400.0,0.0,1.8858569974516,brick:Room_101,24.702621048687377,24.75913123492107,1.0,0.0,18.0,56.34234843656216,0.0,2.2,58.542348436562165,,,9.4,91.0,12.7,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
2025-03-01 01:00:00+00:00,,,,,,,,,,,,,,,,0.0,low,9.4,91.0,12.7,0.0,Training Room 101,55.0,North,165.0,0.25,0.45,8.0,2.1
