ts,weather_temp_c,weather_rh_pct,weather_wind_ms,weather_ghi_wm2
2025-03-01 00:00:00+00:00,10.0,77.0,16.2,0.0
2025-03-01 00:15:00+00:00,9.85,80.5,15.325,0.0
2025-03-01 00:30:00+00:00,9.7,84.0,14.45,0.0
2025-03-01 00:45:00+00:00,9.55,87.5,13.575,0.0
2025-03-01 01:00:00+00:00,9.4,91.0,12.7,0.0
2025-03-01 01:15:00+00:00,9.475,91.75,13.125,0.0
2025-03-01 01:30:00+00:00,9.55,92.5,13.55,0.0
2025-03-01 01:45:00+00:00,9.625,93.25,13.975,0.0
2025-03-01 02:00:00+00:00,9.7,94.0,14.4,0.0
2025-03-01 02:15:00+00:00,9.7,94.0,14.6,0.0
2025-03-01 02:30:00+00:00,9.7,94.0,14.8,0.0
2025-03-01 02:45:00+00:00,9.7,94.0,15.0,0.0
2025-03-01 03:00:00+00:00,9.7,94.0,15.2,0.0
2025-03-01 03:15:00+00:00,9.6,94.5,14.925,0.0
2025-03-01 03:30:00+00:00,9.5,95.0,14.65,0.0
2025-03-01 03:45:00+00:00,9.4,95.5,14.375,0.0
2025-03-01 04:00:00+00:00,9.3,96.0,14.1,0.0
2025-03-01 04:15:00+00:00,9.25,95.25,13.65,0.0
2025-03-01 04:30:00+00:00,9.2,94.5,13.2,0.0
2025-03-01 04:45:00+00:00,9.15,93.75,12.75,0.0
2025-03-01 05:00:00+00:00,9.1,93.0,12.3,0.0
2025-03-01 05:15:00+00:00,9.0,92.5,11.75,0.0
2025-03-01 05:30:00+00:00,8.899999999999999,92.0,11.2,0.0
2025-03-01 05:45:00+00:00,8.799999999999999,91.5,10.65,0.0
2025-03-01 06:00:00+00:00,8.7,91.0,10.1,0.0
2025-03-01 06:15:00+00:00,8.625,91.0,9.55,0.0
2025-03-01 06:30:00+00:00,8.55,91.0,9.0,0.0
2025-03-01 06:45:00+00:00,8.475,91.0,8.45,0.0
2025-03-01 07:00:00+00:00,8.4,91.0,7.9,0.0
2025-03-01 07:15:00+00:00,8.65,90.25,7.550000000000001,13.25
2025-03-01 07:30:00+00:00,8.9,89.5,7.2,26.5
2025-03-01 07:45:00+00:00,9.15,88.75,6.85,39.75
2025-03-01 08:00:00+00:00,9.4,88.0,6.5,53.0
2025-03-01 08:15:00+00:00,9.925,85.75,5.8,97.5
2025-03-01 08:30:00+00:00,10.45,83.5,5.1,142.0
2025-03-01 08:45:00+00:00,10.975,81.25,4.4,186.5
2025-03-01 09:00:00+00:00,11.5,79.0,3.7,231.0
2025-03-01 09:15:00+00:00,11.925,76.0,4.0,285.5
2025-03-01 09:30:00+00:00,12.35,73.0,4.300000000000001,340.0
2025-03-01 09:45:00+00:00,12.775,70.0,4.6000000000000005,394.5
2025-03-01 10:00:00+00:00,13.2,67.0,4.9,449.0
2025-03-01 10:15:00+00:00,13.575,65.0,4.9750000000000005,493.25
2025-03-01 10:30:00+00:00,13.95,63.0,5.050000000000001,537.5
2025-03-01 10:45:00+00:00,14.325,61.0,5.125,581.75
2025-03-01 11:00:00+00:00,14.7,59.0,5.2,626.0
2025-03-01 11:15:00+00:00,15.05,57.25,5.225,648.0
2025-03-01 11:30:00+00:00,15.4,55.5,5.25,670.0
2025-03-01 11:45:00+00:00,15.75,53.75,5.275,692.0
2025-03-01 12:00:00+00:00,16.1,52.0,5.3,714.0
2025-03-01 12:15:00+00:00,16.325000000000003,51.5,5.45,706.75
2025-03-01 12:30:00+00:00,16.55,51.0,5.6,699.5
2025-03-01 12:45:00+00:00,16.775,50.5,5.75,692.25
2025-03-01 13:00:00+00:00,17.0,50.0,5.9,685.0
2025-03-01 13:15:00+00:00,17.1,49.5,6.325,679.0
2025-03-01 13:30:00+00:00,17.2,49.0,6.75,673.0
2025-03-01 13:45:00+00:00,17.299999999999997,48.5,7.175,667.0
2025-03-01 14:00:00+00:00,17.4,48.0,7.6,661.0
2025-03-01 14:15:00+00:00,17.375,47.75,8.025,656.5
2025-03-01 14:30:00+00:00,17.35,47.5,8.45,652.0
2025-03-01 14:45:00+00:00,17.325,47.25,8.875,647.5
2025-03-01 15:00:00+00:00,17.3,47.0,9.3,643.0
2025-03-01 15:15:00+00:00,17.2,46.75,9.1,604.75
2025-03-01 15:30:00+00:00,17.1,46.5,8.9,566.5
2025-03-01 15:45:00+00:00,17.0,46.25,8.7,528.25
2025-03-01 16:00:00+00:00,16.9,46.0,8.5,490.0
2025-03-01 16:15:00+00:00,16.825,45.75,8.075,449.0
2025-03-01 16:30:00+00:00,16.75,45.5,7.65,408.0
2025-03-01 16:45:00+00:00,16.675,45.25,7.225,367.0
2025-03-01 17:00:00+00:00,16.6,45.0,6.8,326.0
2025-03-01 17:15:00+00:00,16.35,47.75,6.05,278.25
2025-03-01 17:30:00+00:00,16.1,50.5,5.3,230.5
2025-03-01 17:45:00+00:00,15.85,53.25,4.55,182.75
2025-03-01 18:00:00+00:00,15.6,56.0,3.8,135.0
2025-03-01 18:15:00+00:00,15.05,58.75,3.775,103.75
2025-03-01 18:30:00+00:00,14.5,61.5,3.75,72.5
2025-03-01 18:45:00+00:00,13.95,64.25,3.725,41.25
2025-03-01 19:00:00+00:00,13.4,67.0,3.7,10.0
2025-03-01 19:15:00+00:00,13.125,68.25,3.35,7.5
2025-03-01 19:30:00+00:00,12.85,69.5,3.0,5.0
2025-03-01 19:45:00+00:00,12.575,70.75,2.65,2.5
2025-03-01 20:00:00+00:00,12.3,72.0,2.3,0.0
2025-03-01 20:15:00+00:00,12.25,72.25,1.825,0.0
2025-03-01 20:30:00+00:00,12.2,72.5,1.35,0.0
2025-03-01 20:45:00+00:00,12.15,72.75,0.875,0.0
2025-03-01 21:00:00+00:00,12.1,73.0,0.4,0.0
2025-03-01 21:15:00+00:00,11.925,73.5,0.875,0.0
2025-03-01 21:30:00+00:00,11.75,74.0,1.35,0.0
2025-03-01 21:45:00+00:00,11.575,74.5,1.825,0.0
2025-03-01 22:00:00+00:00,11.4,75.0,2.3,0.0
2025-03-01 22:15:00+00:00,11.175,76.0,3.45,0.0
2025-03-01 22:30:00+00:00,10.95,77.0,4.6,0.0
2025-03-01 22:45:00+00:00,10.725,78.0,5.75,0.0
2025-03-01 23:00:00+00:00,10.5,79.0,6.9,0.0
2025-03-01 23:15:00+00:00,10.35,81.0,7.25,0.0
2025-03-01 23:30:00+00:00,10.2,83.0,7.6,0.0
2025-03-01 23:45:00+00:00,10.05,85.0,7.950000000000001,0.0
2025-03-02 00:00:00+00:00,9.9,87.0,8.3,0.0
2025-03-02 00:15:00+00:00,10.05,87.5,8.05,0.0
2025-03-02 00:30:00+00:00,10.2,88.0,7.800000000000001,0.0
2025-03-02 00:45:00+00:00,10.35,88.5,7.55,0.0
2025-03-02 01:00:00+00:00,10.5,89.0,7.3,0.0
2025-03-02 01:15:00+00:00,10.4,90.25,7.475,0.0
2025-03-02 01:30:00+00:00,10.3,91.5,7.65,0.0
2025-03-02 01:45:00+00:00,10.2,92.75,7.825,0.0
2025-03-02 02:00:00+00:00,10.1,94.0,8.0,0.0
2025-03-02 02:15:00+00:00,10.0,93.75,7.8,0.0
2025-03-02 02:30:00+00:00,9.9,93.5,7.6,0.0
2025-03-02 02:45:00+00:00,9.8,93.25,7.4,0.0
2025-03-02 03:00:00+00:00,9.7,93.0,7.2,0.0
2025-03-02 03:15:00+00:00,9.675,92.5,7.1,0.0
2025-03-02 03:30:00+00:00,9.65,92.0,7.0,0.0
2025-03-02 03:45:00+00:00,9.625,91.5,6.9,0.0
2025-03-02 04:00:00+00:00,9.6,91.0,6.8,0.0
2025-03-02 04:15:00+00:00,9.525,90.5,6.775,0.0
2025-03-02 04:30:00+00:00,9.45,90.0,6.75,0.0
2025-03-02 04:45:00+00:00,9.375,89.5,6.725,0.0
2025-03-02 05:00:00+00:00,9.3,89.0,6.7,0.0
2025-03-02 05:15:00+00:00,9.2,87.75,6.75,0.0
2025-03-02 05:30:00+00:00,9.1,86.5,6.800000000000001,0.0
2025-03-02 05:45:00+00:00,9.0,85.25,6.8500000000000005,0.0
2025-03-02 06:00:00+00:00,8.9,84.0,6.9,0.0
